record_id	subject_id	object_id	predicate_id	mapping_justification	author_id	confidence	comment
ex:map1	cmt:Administrator	confOf:Administrator	owl:equivalentClass	semapv:LexicalMatching		1.0	Exact label match and same role in ontology (Administrator). (subject_label=Administrator; object_label=Administrator)
ex:map2	cmt:Author	confOf:Author	owl:equivalentClass	semapv:LexicalMatching		1.0	Exact label match and similar class restrictions (Author).
ex:map3	cmt:Paper	confOf:Paper	owl:equivalentClass	semapv:LexicalMatching		1.0	Exact label match; both are subclassed as contributions/documents in their ontologies.
ex:map4	cmt:Conference	confOf:Conference	owl:equivalentClass	semapv:LexicalMatching		1.0	Exact label match and similar modeling as a conference entity.
ex:map5	cmt:Person	confOf:Person	owl:equivalentClass	semapv:LexicalMatching		1.0	Exact label match and similar domain/range modeling for person-related properties.
ex:map6	cmt:writtenBy	confOf:writtenBy	owl:equivalentProperty	semapv:LexicalMatching		1.0	Exact label match for property and same inverse/usage semantics (writtenBy/writes). (subject_type=owl:ObjectProperty; object_type=owl:ObjectProperty)
ex:map7	cmt:hasAuthor	confOf:writtenBy	owl:equivalentProperty	semapv:StructuralMatching		0.8	hasAuthor (author of a paper) aligns structurally with writtenBy (inverse of writes) in confOf; labels differ but semantics align. (subject_type=owl:ObjectProperty; object_type=owl:ObjectProperty)
ex:map8	cmt:writePaper	confOf:writes	owl:equivalentProperty	semapv:LexicalSimilarityThresholdMatching		0.8	writePaper (inverse of hasAuthor) corresponds to writes (author writes contribution) — lexical variant and structural correspondence. (subject_type=owl:ObjectProperty; object_type=owl:ObjectProperty)
ex:map9	cmt:title	confOf:hasTitle	owl:equivalentProperty	semapv:LexicalSimilarityThresholdMatching		0.9	title (datatype property on Paper) corresponds to hasTitle (datatype property on Contribution). Labels are lexical variants; domains align. (subject_type=owl:DatatypeProperty; object_type=owl:DatatypeProperty)
ex:map10	cmt:email	confOf:hasEmail	owl:equivalentProperty	semapv:LexicalSimilarityThresholdMatching		0.95	email vs hasEmail: lexical variant and same domain (Person). (subject_type=owl:DatatypeProperty; object_type=owl:DatatypeProperty)
ex:map11	cmt:Reviewer	confOf:Member_PC	skos:closeMatch	semapv:BackgroundKnowledgeBasedMatching		0.8	
ex:map12	cmt:ProgramCommitteeMember	confOf:Member_PC	skos:closeMatch	semapv:StructuralMatching		0.8	ProgramCommitteeMember (cmt) corresponds to Member_PC (confOf) — both model PC members with review responsibilities; lexical forms differ. (subject_type=owl:Class; object_type=owl:Class)
ex:map13	cmt:Chairman	confOf:Chair_PC	skos:closeMatch	semapv:LexicalSimilarityThresholdMatching		0.8	Chairman (cmt) aligns with Chair_PC (confOf) as chair/PC-chair role; labels differ but semantics align. (subject_type=owl:Class; object_type=owl:Class)
ex:map14	cmt:Review	confOf:Reviewing_event	skos:relatedMatch	semapv:BackgroundKnowledgeBasedMatching		0.5	Review (a document in cmt) is related to Reviewing_event (confOf) which models the reviewing procedure; related but not strictly equivalent.
ex:map15	cmt:Meta-Review	confOf:Reviewing_results_event	skos:relatedMatch	semapv:BackgroundKnowledgeBasedMatching		0.5	Meta-Review (cmt) corresponds to reviewing-results concepts in confOf (summary/results of review) — related but not equivalent.
