record_id	subject_id	object_id	predicate_id	mapping_justification	author_id	confidence	comment
ex:m1	edas:Paper	ekaw:Paper	owl:equivalentClass	semapv:LexicalMatching		1.0	Exact label match: EDAS Paper and EKAW Paper are both document subclasses representing papers.
ex:m2	edas:Review	ekaw:Review	owl:equivalentClass	semapv:LexicalMatching		1.0	Exact label match: both denote review documents and are subclasses of Document.
ex:m3	edas:Document	ekaw:Document	owl:equivalentClass	semapv:LexicalMatching		0.99	Exact label match and consistent structural role as superclass of papers and reviews.
ex:m4	edas:Person	ekaw:Person	owl:equivalentClass	semapv:LexicalMatching		0.99	Exact label match with compatible use as superclass for conference participants and authors/reviewers.
ex:m5	edas:Conference	ekaw:Conference	owl:equivalentClass	semapv:LexicalMatching		0.98	Exact label match; both model a conference event edition.
ex:m6	edas:Workshop	ekaw:Workshop	owl:equivalentClass	semapv:LexicalMatching		0.98	Exact label match; both are scientific event types distinct from conference and session.
ex:m7	edas:Presenter	ekaw:Presenter	owl:equivalentClass	semapv:LexicalMatching		0.97	Exact label match; both denote a presenting participant role.
ex:m8	edas:SessionChair	ekaw:Session_Chair	owl:equivalentClass	semapv:LexicalSimilarityThresholdMatching		0.97	Near-exact lexical match differing only by separator/casing; both denote chair of a session.
ex:m9	edas:TPCMember	ekaw:PC_Member	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching		0.83	TPCMember in EDAS closely corresponds to Program Committee member in EKAW; likely same conference role but naming differs.
ex:m10	edas:Author	ekaw:Paper_Author	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching		0.9	EDAS Author is modeled as a person related to a paper; EKAW Paper_Author is a person authoring a paper. Strong semantic correspondence.
ex:m11	edas:Reviewer	ekaw:Possible_Reviewer	skos:narrowMatch	semapv:SemanticSimilarityThresholdMatching		0.74	EDAS Reviewer denotes an actual reviewer of some paper, narrower than EKAW Possible_Reviewer which includes potential reviewers.
ex:m12	edas:ConferenceSession	ekaw:Conference_Session	owl:equivalentClass	semapv:LexicalSimilarityThresholdMatching		0.97	Near-exact lexical match and same intended meaning as a session belonging to a conference.
ex:m13	edas:Topic	ekaw:Research_Topic	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching		0.9	EDAS Topic corresponds closely to EKAW Research_Topic as subject matter covered by papers/events.
ex:m14	edas:Organization	ekaw:Organisation	owl:equivalentClass	semapv:LexicalSimilarityThresholdMatching		0.98	Lexical variant due to American/British spelling; both denote organizations.
ex:m15	edas:Place	ekaw:Location	owl:equivalentClass	semapv:SemanticSimilarityThresholdMatching		0.9	Place and Location are strong semantic equivalents in the event-location context.
