record_id	subject_id	object_id	predicate_id	mapping_justification	author_id	confidence	comment
ex:m1	cmt:Administrator	confOf:Administrator	owl:equivalentClass	semapv:LexicalMatching		0.99	Both ontologies define a class labeled Administrator with the same lexical form and compatible meaning as an administrative person in the conference system.
ex:m2	cmt:Author	confOf:Author	owl:equivalentClass	semapv:LexicalMatching		0.99	Exact lexical match on Author; both represent persons who write/submit conference contributions.
ex:m3	cmt:Conference	confOf:Conference	skos:closeMatch	semapv:LexicalMatching		0.78	Exact label match, but the modeled semantics differ: in CMT Conference is the conference entity, while in ConfOf Conference is a subclass of Working_event, closer to the conference event itself rather than the management object.
ex:m4	cmt:Person	confOf:Person	owl:equivalentClass	semapv:LexicalMatching		0.95	Exact lexical match on Person with broadly compatible semantics in both ontologies.
ex:m5	cmt:Paper	confOf:Paper	skos:closeMatch	semapv:LexicalMatching		0.84	Exact lexical match on Paper; both denote a paper contribution, though CMT models Paper as a Document and ConfOf as a Contribution subtype.
ex:m6	cmt:Reviewer	confOf:Member_PC	skos:closeMatch	semapv:BackgroundKnowledgeBasedMatching		0.72	ConfOf Member_PC is commented as Reviewer and structurally reviews contributions, making it a close semantic counterpart to CMT Reviewer, though Member_PC is specifically a PC member.
ex:m7	cmt:ProgramCommitteeMember	confOf:Member_PC	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching		0.86	Both classes denote program committee members involved in reviewing; ConfOf Member_PC has reviewing and expertise restrictions consistent with CMT ProgramCommitteeMember.
ex:m8	cmt:ProgramCommitteeChair	confOf:Chair_PC	owl:equivalentClass	semapv:LexicalSimilarityThresholdMatching		0.93	ProgramCommitteeChair and Chair_PC are near-synonymous labels for the chair of the program committee, with highly compatible intended meaning.
ex:m9	cmt:SubjectArea	confOf:Topic	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching		0.81	CMT SubjectArea and ConfOf Topic both represent thematic subject matter used to classify papers/contributions.
ex:m10	cmt:PaperAbstract	confOf:Contribution	skos:broadMatch	semapv:SemanticSimilarityThresholdMatching		0.55	CMT PaperAbstract is a kind of Paper document, while ConfOf Contribution is a broader contribution concept encompassing papers and other submission types; the object is broader than the subject.
ex:m11	cmt:ConferenceChair	confOf:Chair_PC	skos:closeMatch	semapv:BackgroundKnowledgeBasedMatching		0.58	Both denote chair roles in conference organization, but CMT ConferenceChair is not clearly identical to ConfOf Chair_PC, which is specifically the PC chair.
ex:m12	cmt:Document	confOf:Contribution	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching		0.63	CMT Document includes paper and review artifacts, while ConfOf Contribution includes paper-like submissions; they overlap substantially but are not equivalent.
ex:m13	cmt:Co-author	confOf:Author	rdfs:subClassOf	semapv:LogicalReasoning		0.9	In CMT, Co-author is explicitly a subclass of Author. ConfOf has Author but no separate Co-author class, so CMT Co-author is reasonably modeled as a subclass of ConfOf Author.
ex:m14	cmt:email	confOf:hasEmail	owl:equivalentProperty	semapv:LexicalSimilarityThresholdMatching		0.96	Both datatype properties associate a Person with an email string; labels differ only by naming convention.
ex:m15	cmt:name	confOf:hasTitle	skos:relatedMatch	semapv:SemanticSimilarityThresholdMatching		0.34	Both are naming/title properties, but domains differ strongly: CMT name applies to Conference or Person, while ConfOf hasTitle applies to Contribution. This is only a weak related match.
ex:m16	cmt:title	confOf:hasTitle	owl:equivalentProperty	semapv:LexicalSimilarityThresholdMatching		0.97	Both datatype properties capture the title of a paper/contribution and have compatible ranges and intended usage.
ex:m17	cmt:abstract	confOf:abstract	owl:equivalentProperty	semapv:LexicalMatching		0.98	Both datatype properties named abstract denote the abstract text of a submission/contribution.
ex:m18	cmt:hasAuthor	confOf:writtenBy	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching		0.88	Both object properties link a paper/contribution to its author. The labels differ, but domains and ranges are closely aligned.
ex:m19	cmt:writePaper	confOf:writes	owl:equivalentProperty	semapv:SemanticSimilarityThresholdMatching		0.94	Both properties relate an Author to a Paper/Contribution they wrote, and both are inverse to the corresponding paper-to-author property.
ex:m20	cmt:hasSubjectArea	confOf:dealsWith	skos:closeMatch	semapv:StructuralMatching		0.83	Both properties connect a paper/contribution to its thematic area or topic; the structural role in each ontology is closely similar.
ex:m21	cmt:acceptedBy	confOf:Reviewing_results_event	skos:relatedMatch	semapv:BackgroundKnowledgeBasedMatching		0.22	CMT acceptedBy is an object property linking a paper to an administrator, whereas ConfOf Reviewing_results_event is an event class about review outcomes. They are only loosely related through acceptance workflow and are not directly equivalent.
